id_port,name,freq,SpaceP_deg,SpaceP_close_unw,SpaceP_close_dur,travel_time_c0,travel_time_c2,nb_reachable_c0,nb_reachable_c2
232,Balikpapan,0.6667,14,2.8032,20.4067,13.7515,25.7015,426.8642,384.1728
490,Guayaquil,3.9917,219,1.7712,15.1125,11.7307,22.5484,436.2099,412.8642
3976,Phnom Penh,0.4917,27,2.2792,16.4886,43.1255,51.1661,434.6049,335.6296
1504,Kaohsiung,40.4167,385,1.5652,15.8095,8.3659,17.3943,436.9506,422.716
3107,Reunion,1.3667,150,1.8673,21.1152,19.1477,27.9443,425.0617,382.2222
1675,Zeebrugge,5.9333,193,1.8055,15.7637,11.4524,19.967,435.7037,417.8642
3092,Paranagua,5.0833,285,1.6705,18.2556,13.0684,22.6901,436.0123,417.321
5753,Castries,0.525,37,2.4416,16.6421,16.1437,28.1806,429.8148,396.6914
5956,Acajutla,1.2583,85,2.0183,16.414,14.2758,26.7374,432.1728,390.8519
2067,Bourgas,0.325,42,2.3318,16.3934,16.8929,30.6447,421.8395,359.963
2331,Houston,4.85,267,1.6842,16.7441,12.3418,21.76,436.1358,410.8642
3952,Zarate,0.725,44,2.4005,22.4452,15.2786,28.4462,430.4321,391.6667
5171,Gijon,0.875,73,2.1487,16.0394,14.2311,24.4997,434.8025,400.4321
2594,Philadelphia,1.1917,170,1.8101,18.8797,13.3655,23.5571,434.8519,392.1605
2760,Pulau Batam,0.3833,11,2.7918,16.911,12.1436,24.2123,436.2099,394.5926
3837,Catania,0.3333,34,2.405,15.0465,15.5696,27.8491,431.6914,373.2716
1816,Nelson(NZL),0.7583,51,2.1487,23.7902,20.9337,31.223,411.0988,339.2469
369,Montreal,1.925,86,2.119,20.0738,18.0577,26.1584,428.2716,383.0
5899,Kotka,2.5167,94,2.0435,20.2004,14.1294,23.5281,434.7654,408.2716
5677,Varna,1.125,85,2.1899,16.2003,14.5158,25.2068,432.6914,393.8519
3110,Adelaide,1.2667,161,1.8124,24.1379,16.8556,26.604,430.6667,386.7778
1952,Aden,2.75,131,2.0297,18.9364,12.272,21.5308,436.3951,415.8395
3099,Niigata,2.75,55,2.2403,18.4472,11.0425,22.7064,436.5556,399.5309
4188,Port au Prince,1.5917,70,2.1968,16.03,13.2288,23.9048,436.7654,413.5062
854,Baltimore,2.0583,196,1.7918,19.5956,12.1538,22.2665,436.1728,410.0988
4837,Gioia Tauro,9.7667,326,1.643,14.1664,11.4691,19.5254,434.8642,414.5679
1140,Montoir,1.0417,89,2.0183,13.7021,13.2877,22.637,435.1235,405.963
8857,Caucedo,5.2,247,1.7506,14.3785,10.8454,19.7276,436.8765,426.9877
1532,Thessaloniki,2.325,149,2.0092,16.7724,13.6682,23.2457,433.0617,404.4321
4625,Nouakchott,0.425,71,2.0915,17.4685,18.2213,28.1356,419.0741,381.7037
2771,Lattakia,3.65,174,1.9497,16.6199,13.148,23.1254,434.1975,404.8889
2828,Karachi,5.2833,204,1.8032,16.942,11.2482,20.7195,435.4938,413.5802
943,Helsingborg,2.2333,87,2.2288,18.6615,12.8299,22.0737,435.3333,413.321
143,Helsinki,3.9917,100,2.0618,18.4569,13.8672,22.8876,434.6173,407.2716
3010,Agadir,0.9917,81,2.0892,16.3176,12.3416,21.7434,435.1358,409.2346
5015,Bandar Abbas,2.9917,182,1.8009,14.5406,10.2787,20.3804,436.8025,419.9753
4352,Montevideo,4.0417,250,1.7025,21.7674,13.9415,25.036,434.358,410.4691
1782,Cebu,1.2667,34,2.2334,19.4932,11.6686,22.3801,436.642,405.0123
311,Vancouver(CAN),3.2583,173,1.8902,18.7325,10.5737,21.475,436.5802,407.6296
1340,Launceston,0.9,18,2.3432,23.0093,17.9832,28.5769,425.7654,374.4568
3130,Iquique,1.675,122,1.8741,17.8138,13.5752,25.4798,436.3704,394.7778
2833,Valparaiso,2.0667,175,1.8215,14.3967,13.1012,24.38,436.6914,397.3333
2369,Papeete,0.3833,59,2.0458,29.728,23.6702,37.7441,409.0741,315.0988
6196,Daesan,0.6333,15,2.3043,17.6753,10.6996,23.244,436.4815,396.5556
6514,Thamesport,2.1833,140,1.8627,16.9992,12.393,20.9211,435.5185,414.4938
207,Puerto Quetzal,2.9,128,1.9359,15.9819,13.0584,23.0428,436.6296,403.3951
484,Valletta,0.4917,57,2.3593,15.5816,17.35,29.2412,432.9877,394.4198
1413,Iraklion,0.4917,39,2.3432,17.0122,17.376,28.4547,428.0,368.2222
5581,Sao Francisco do Sul,2.6,221,1.7346,17.0618,13.4991,24.0481,434.9877,413.7284
1697,Bremerhaven,18.65,392,1.5584,16.3928,11.1254,19.0033,436.0617,421.4691
5625,Mantyluoto,0.3917,52,2.2494,18.5479,16.0256,28.0158,433.321,388.0864
3610,Santos,13.8583,312,1.6156,17.5722,12.5068,20.971,435.9259,423.4198
2605,Bangkok,10.2083,107,2.1167,17.3166,8.7327,18.9085,437.0,419.6667
4404,Gunsan,0.9333,46,2.1785,15.9603,9.8666,22.0992,436.7901,405.5679
2220,Maracaibo,0.475,47,2.3867,17.1485,17.303,30.8056,433.8889,385.9383
3766,Brest,0.8167,12,2.341,15.3552,13.3588,22.8833,435.3827,408.2222
2842,Yokohama,27.9667,366,1.5904,16.301,8.4476,18.6838,437.0,416.5926
